tris,type,size,time
SELECTION_SORT,RANDOM,1,0.00140667
SELECTION_SORT,RANDOM,2,6.96667e-05
SELECTION_SORT,RANDOM,4,0.000126
SELECTION_SORT,RANDOM,8,0.000261
SELECTION_SORT,RANDOM,16,0.00062
SELECTION_SORT,RANDOM,32,0.001526
SELECTION_SORT,RANDOM,64,0.003868
SELECTION_SORT,RANDOM,128,0.0102733
SELECTION_SORT,RANDOM,256,0.0289107
SELECTION_SORT,RANDOM,512,0.095229
SELECTION_SORT,RANDOM,1024,0.311728
SELECTION_SORT,RANDOM,2048,1.12844
SELECTION_SORT,RANDOM,4096,5.07561
SELECTION_SORT,RANDOM,8192,16.618
SELECTION_SORT,RANDOM,16384,51.8476
SELECTION_SORT,RANDOM,32768,191.996
SELECTION_SORT,RANDOM,65536,771.901
SELECTION_SORT,RANDOM,131072,3064.44
SELECTION_SORT,RANDOM,262144,12556.5
SELECTION_SORT,RANDOM,524288,48995.2
SELECTION_SORT,RANDOM,1048576,197127
SELECTION_SORT,INVERSE,1,8.33333e-05
SELECTION_SORT,INVERSE,2,5.76667e-05
SELECTION_SORT,INVERSE,4,8.16667e-05
SELECTION_SORT,INVERSE,8,0.000154333
SELECTION_SORT,INVERSE,16,0.000282
SELECTION_SORT,INVERSE,32,0.000671333
SELECTION_SORT,INVERSE,64,0.00158667
SELECTION_SORT,INVERSE,128,0.004636
SELECTION_SORT,INVERSE,256,0.0159433
SELECTION_SORT,INVERSE,512,0.055858
SELECTION_SORT,INVERSE,1024,0.213695
SELECTION_SORT,INVERSE,2048,0.823401
SELECTION_SORT,INVERSE,4096,3.192
SELECTION_SORT,INVERSE,8192,12.6783
SELECTION_SORT,INVERSE,16384,54.0718
SELECTION_SORT,INVERSE,32768,361.36
SELECTION_SORT,INVERSE,65536,2517.23
SELECTION_SORT,INVERSE,131072,14592.2
SELECTION_SORT,INVERSE,262144,51132.6
SELECTION_SORT,INVERSE,524288,134639
SELECTION_SORT,INVERSE,1048576,374534
SELECTION_SORT,ORDERED,1,9.86667e-05
SELECTION_SORT,ORDERED,2,5.13333e-05
SELECTION_SORT,ORDERED,4,6.1e-05
SELECTION_SORT,ORDERED,8,0.000100333
SELECTION_SORT,ORDERED,16,0.000212667
SELECTION_SORT,ORDERED,32,0.000455
SELECTION_SORT,ORDERED,64,0.00108733
SELECTION_SORT,ORDERED,128,0.003877
SELECTION_SORT,ORDERED,256,0.0141427
SELECTION_SORT,ORDERED,512,0.05242
SELECTION_SORT,ORDERED,1024,0.199333
SELECTION_SORT,ORDERED,2048,0.771687
SELECTION_SORT,ORDERED,4096,3.04938
SELECTION_SORT,ORDERED,8192,12.0444
SELECTION_SORT,ORDERED,16384,47.3043
SELECTION_SORT,ORDERED,32768,195.803
SELECTION_SORT,ORDERED,65536,784.824
SELECTION_SORT,ORDERED,131072,3002.98
SELECTION_SORT,ORDERED,262144,11989
SELECTION_SORT,ORDERED,524288,47872.9
SELECTION_SORT,ORDERED,1048576,202315
INSERTION_SORT,RANDOM,1,6.36667e-05
INSERTION_SORT,RANDOM,2,5.46667e-05
INSERTION_SORT,RANDOM,4,6.7e-05
