tris,type,size,time
SELECTION_SORT,RANDOM,1,0.002305
SELECTION_SORT,RANDOM,2,0.000104
SELECTION_SORT,RANDOM,4,0.000161
SELECTION_SORT,RANDOM,8,0.000279
SELECTION_SORT,RANDOM,16,0.000642
SELECTION_SORT,RANDOM,32,0.001782
SELECTION_SORT,RANDOM,64,0.003767
SELECTION_SORT,RANDOM,128,0.010192
SELECTION_SORT,RANDOM,256,0.02896
SELECTION_SORT,RANDOM,512,0.089975
SELECTION_SORT,RANDOM,1024,0.302282
SELECTION_SORT,RANDOM,2048,1.08467
SELECTION_SORT,RANDOM,4096,4.05465
SELECTION_SORT,RANDOM,8192,15.63
SELECTION_SORT,RANDOM,16384,60.6806
SELECTION_SORT,RANDOM,32768,200.855
SELECTION_SORT,RANDOM,65536,750.956
SELECTION_SORT,RANDOM,131072,3415.84
SELECTION_SORT,RANDOM,262144,12849.8
SELECTION_SORT,RANDOM,524288,49070.7
SELECTION_SORT,RANDOM,1048576,191834
SELECTION_SORT,ORDERED,1,0.000145
SELECTION_SORT,ORDERED,2,9.5e-05
SELECTION_SORT,ORDERED,4,0.000139
SELECTION_SORT,ORDERED,8,0.000324
SELECTION_SORT,ORDERED,16,0.000399
SELECTION_SORT,ORDERED,32,0.000823
SELECTION_SORT,ORDERED,64,0.001896
SELECTION_SORT,ORDERED,128,0.004883
SELECTION_SORT,ORDERED,256,0.015465
SELECTION_SORT,ORDERED,512,0.054446
SELECTION_SORT,ORDERED,1024,0.208238
SELECTION_SORT,ORDERED,2048,0.946419
SELECTION_SORT,ORDERED,4096,3.81987
SELECTION_SORT,ORDERED,8192,14.1065
SELECTION_SORT,ORDERED,16384,55.1845
SELECTION_SORT,ORDERED,32768,369.65
SELECTION_SORT,ORDERED,65536,2578.71
SELECTION_SORT,ORDERED,131072,14679.5
SELECTION_SORT,ORDERED,262144,51762.5
SELECTION_SORT,ORDERED,524288,138087
SELECTION_SORT,ORDERED,1048576,401099
SELECTION_SORT,INVERSE,1,0.000137
SELECTION_SORT,INVERSE,2,0.000107
SELECTION_SORT,INVERSE,4,9.8e-05
SELECTION_SORT,INVERSE,8,0.000134
SELECTION_SORT,INVERSE,16,0.000223
SELECTION_SORT,INVERSE,32,0.000611
SELECTION_SORT,INVERSE,64,0.001433
SELECTION_SORT,INVERSE,128,0.004039
SELECTION_SORT,INVERSE,256,0.013551
SELECTION_SORT,INVERSE,512,0.048754
SELECTION_SORT,INVERSE,1024,0.183828
SELECTION_SORT,INVERSE,2048,0.709537
SELECTION_SORT,INVERSE,4096,2.7841
SELECTION_SORT,INVERSE,8192,11.2005
SELECTION_SORT,INVERSE,16384,45.1001
SELECTION_SORT,INVERSE,32768,180.477
SELECTION_SORT,INVERSE,65536,723.496
SELECTION_SORT,INVERSE,131072,2910.4
SELECTION_SORT,INVERSE,262144,12054.8
SELECTION_SORT,INVERSE,524288,47227.5
SELECTION_SORT,INVERSE,1048576,192911
INSERTION_SORT,RANDOM,1,0.000123
INSERTION_SORT,RANDOM,2,7.2e-05
INSERTION_SORT,RANDOM,4,8.7e-05
INSERTION_SORT,RANDOM,8,0.000153
INSERTION_SORT,RANDOM,16,0.000218
INSERTION_SORT,RANDOM,32,0.000554
INSERTION_SORT,RANDOM,64,0.001039
INSERTION_SORT,RANDOM,128,0.00281
INSERTION_SORT,RANDOM,256,0.010942
INSERTION_SORT,RANDOM,512,0.038923
INSERTION_SORT,RANDOM,1024,0.224843
INSERTION_SORT,RANDOM,2048,0.592931
INSERTION_SORT,RANDOM,4096,2.92194
INSERTION_SORT,RANDOM,8192,10.0006
INSERTION_SORT,RANDOM,16384,44.3977
INSERTION_SORT,RANDOM,32768,198.231
INSERTION_SORT,RANDOM,65536,702.625
INSERTION_SORT,RANDOM,131072,2767.67
INSERTION_SORT,RANDOM,262144,10555.5
INSERTION_SORT,RANDOM,524288,43341.8
INSERTION_SORT,RANDOM,1048576,171740
INSERTION_SORT,ORDERED,1,0.000146
INSERTION_SORT,ORDERED,2,9.2e-05
INSERTION_SORT,ORDERED,4,0.000126
INSERTION_SORT,ORDERED,8,0.000147
INSERTION_SORT,ORDERED,16,0.000246
INSERTION_SORT,ORDERED,32,0.000544
INSERTION_SORT,ORDERED,64,0.001488
INSERTION_SORT,ORDERED,128,0.005279
INSERTION_SORT,ORDERED,256,0.020619
INSERTION_SORT,ORDERED,512,0.081326
INSERTION_SORT,ORDERED,1024,0.332454
INSERTION_SORT,ORDERED,2048,1.25984
INSERTION_SORT,ORDERED,4096,4.92544
INSERTION_SORT,ORDERED,8192,19.8194
INSERTION_SORT,ORDERED,16384,80.6953
INSERTION_SORT,ORDERED,32768,321.364
INSERTION_SORT,ORDERED,65536,1284.6
INSERTION_SORT,ORDERED,131072,5181.87
INSERTION_SORT,ORDERED,262144,20636.9
INSERTION_SORT,ORDERED,524288,84760.5
INSERTION_SORT,ORDERED,1048576,344690
INSERTION_SORT,INVERSE,1,0.000164
INSERTION_SORT,INVERSE,2,0.000104
INSERTION_SORT,INVERSE,4,0.000109
INSERTION_SORT,INVERSE,8,0.000118
INSERTION_SORT,INVERSE,16,9.1e-05
INSERTION_SORT,INVERSE,32,9.8e-05
INSERTION_SORT,INVERSE,64,0.000111
INSERTION_SORT,INVERSE,128,0.000129
INSERTION_SORT,INVERSE,256,0.000193
INSERTION_SORT,INVERSE,512,0.000302
INSERTION_SORT,INVERSE,1024,0.000562
INSERTION_SORT,INVERSE,2048,0.000901
INSERTION_SORT,INVERSE,4096,0.001697
INSERTION_SORT,INVERSE,8192,0.003285
INSERTION_SORT,INVERSE,16384,0.006292
INSERTION_SORT,INVERSE,32768,0.012515
INSERTION_SORT,INVERSE,65536,0.024824
INSERTION_SORT,INVERSE,131072,0.054052
INSERTION_SORT,INVERSE,262144,0.101889
INSERTION_SORT,INVERSE,524288,0.238326
INSERTION_SORT,INVERSE,1048576,0.494178
MERGE_SORT,RANDOM,1,0.000204
MERGE_SORT,RANDOM,2,0.000685
MERGE_SORT,RANDOM,4,0.000931
MERGE_SORT,RANDOM,8,0.001607
MERGE_SORT,RANDOM,16,0.003729
MERGE_SORT,RANDOM,32,0.007132
MERGE_SORT,RANDOM,64,0.014522
MERGE_SORT,RANDOM,128,0.02849
MERGE_SORT,RANDOM,256,0.053066
MERGE_SORT,RANDOM,512,0.103581
MERGE_SORT,RANDOM,1024,0.211544
MERGE_SORT,RANDOM,2048,0.423113
MERGE_SORT,RANDOM,4096,0.852665
MERGE_SORT,RANDOM,8192,1.74641
MERGE_SORT,RANDOM,16384,3.52323
MERGE_SORT,RANDOM,32768,7.97597
MERGE_SORT,RANDOM,65536,15.7245
MERGE_SORT,RANDOM,131072,30.8652
MERGE_SORT,RANDOM,262144,61.3531
MERGE_SORT,RANDOM,524288,122.038
MERGE_SORT,RANDOM,1048576,250.537
MERGE_SORT,ORDERED,1,9.8e-05
MERGE_SORT,ORDERED,2,0.00051
MERGE_SORT,ORDERED,4,0.000744
MERGE_SORT,ORDERED,8,0.001376
MERGE_SORT,ORDERED,16,0.003099
MERGE_SORT,ORDERED,32,0.006392
MERGE_SORT,ORDERED,64,0.01354
MERGE_SORT,ORDERED,128,0.025365
MERGE_SORT,ORDERED,256,0.050042
MERGE_SORT,ORDERED,512,0.143887
MERGE_SORT,ORDERED,1024,0.200074
MERGE_SORT,ORDERED,2048,0.446608
MERGE_SORT,ORDERED,4096,0.806769
MERGE_SORT,ORDERED,8192,1.58421
MERGE_SORT,ORDERED,16384,3.27974
MERGE_SORT,ORDERED,32768,6.5595
MERGE_SORT,ORDERED,65536,13.1982
MERGE_SORT,ORDERED,131072,27.6623
MERGE_SORT,ORDERED,262144,55.2483
MERGE_SORT,ORDERED,524288,109.338
MERGE_SORT,ORDERED,1048576,221.086
MERGE_SORT,INVERSE,1,0.000104
MERGE_SORT,INVERSE,2,0.000501
MERGE_SORT,INVERSE,4,0.000831
MERGE_SORT,INVERSE,8,0.001388
MERGE_SORT,INVERSE,16,0.003149
MERGE_SORT,INVERSE,32,0.006293
MERGE_SORT,INVERSE,64,0.013418
MERGE_SORT,INVERSE,128,0.025191
MERGE_SORT,INVERSE,256,0.049663
MERGE_SORT,INVERSE,512,0.098095
MERGE_SORT,INVERSE,1024,0.198208
MERGE_SORT,INVERSE,2048,0.398072
MERGE_SORT,INVERSE,4096,0.802444
MERGE_SORT,INVERSE,8192,1.6665
MERGE_SORT,INVERSE,16384,3.60752
MERGE_SORT,INVERSE,32768,7.0186
MERGE_SORT,INVERSE,65536,13.5758
MERGE_SORT,INVERSE,131072,28.0163
MERGE_SORT,INVERSE,262144,56.6818
MERGE_SORT,INVERSE,524288,113.972
MERGE_SORT,INVERSE,1048576,227.208
COUNTING_SORT,RANDOM,1,0.001611
COUNTING_SORT,RANDOM,2,0.016333
COUNTING_SORT,RANDOM,4,0.035311
COUNTING_SORT,RANDOM,8,0.037658
COUNTING_SORT,RANDOM,16,0.039529
COUNTING_SORT,RANDOM,32,0.045319
COUNTING_SORT,RANDOM,64,0.043491
COUNTING_SORT,RANDOM,128,0.04701
COUNTING_SORT,RANDOM,256,0.0473
COUNTING_SORT,RANDOM,512,0.04909
COUNTING_SORT,RANDOM,1024,0.05048
COUNTING_SORT,RANDOM,2048,0.05581
COUNTING_SORT,RANDOM,4096,0.067586
COUNTING_SORT,RANDOM,8192,0.130871
COUNTING_SORT,RANDOM,16384,0.158854
COUNTING_SORT,RANDOM,32768,0.284753
COUNTING_SORT,RANDOM,65536,0.610764
COUNTING_SORT,RANDOM,131072,1.36433
COUNTING_SORT,RANDOM,262144,3.06974
COUNTING_SORT,RANDOM,524288,6.79168
COUNTING_SORT,RANDOM,1048576,15.3665
COUNTING_SORT,ORDERED,1,0.001352
COUNTING_SORT,ORDERED,2,0.005872
COUNTING_SORT,ORDERED,4,0.024083
COUNTING_SORT,ORDERED,8,0.028245
COUNTING_SORT,ORDERED,16,0.050475
COUNTING_SORT,ORDERED,32,0.047294
COUNTING_SORT,ORDERED,64,0.051587
COUNTING_SORT,ORDERED,128,0.05185
COUNTING_SORT,ORDERED,256,0.055191
COUNTING_SORT,ORDERED,512,0.055453
COUNTING_SORT,ORDERED,1024,0.058584
COUNTING_SORT,ORDERED,2048,0.078057
COUNTING_SORT,ORDERED,4096,0.074985
COUNTING_SORT,ORDERED,8192,0.089882
COUNTING_SORT,ORDERED,16384,0.237531
COUNTING_SORT,ORDERED,32768,0.728456
COUNTING_SORT,ORDERED,65536,0.564746
COUNTING_SORT,ORDERED,131072,1.59963
COUNTING_SORT,ORDERED,262144,3.00973
COUNTING_SORT,ORDERED,524288,4.28995
COUNTING_SORT,ORDERED,1048576,8.53281
COUNTING_SORT,INVERSE,1,0.001247
COUNTING_SORT,INVERSE,2,0.043231
COUNTING_SORT,INVERSE,4,0.026731
COUNTING_SORT,INVERSE,8,0.042776
COUNTING_SORT,INVERSE,16,0.042722
COUNTING_SORT,INVERSE,32,0.046125
COUNTING_SORT,INVERSE,64,0.047939
COUNTING_SORT,INVERSE,128,0.048076
COUNTING_SORT,INVERSE,256,0.048802
COUNTING_SORT,INVERSE,512,0.052427
COUNTING_SORT,INVERSE,1024,0.054217
